PRESIDÊNCIA	 R$143.614,81
GABINETE DA PRESIDÊNCIA	 R$3.124.868,36
01ª VICE-PRESIDÊNCIA	 R$140.375,92
GABINETE DO 1º VICE-PRESIDENTE	 R$343.230,57
02ª VICE-PRESIDÊNCIA	 R$141.657,12
GABINETE DO 2º VICE-PRESIDENTE	 R$330.870,19
01ª SECRETARIA DA MESA	 R$164.067,74
GABINETE DO 1º SECRETÁRIO	 R$755.867,31
02ª SECRETARIA DA MESA	 R$131.500,18
GABINETE DO 2º SECRETÁRIO	 R$307.366,48
01º SUPLENTE DA MESA	 R$141.392,51
02º SUPLENTE DA MESA	 R$140.930,58
CORREGEDORIA	 R$518.834,11
OUVIDORIA DA CÂMARA MUNICIPAL DE SÃO PAULO	 R$893.328,86
ESCOLA DO PARLAMENTO	 R$1.104.263,64
GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PV	 R$568.231,06
GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PP	 R$309.240,26
GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PTB	 R$381.527,07
GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PT	 R$1.234.191,45
GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PROS	 R$265.070,35
GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PTN	 R$117.186,61
GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DA REDE SUSTENTABILIDADE	 R$-840,00
GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PHS	 R$21.423,78
GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO PR	 R$540.537,49
GABINETE DA LIDERANÇA DE REPRESENTAÇÃO PARTIDÁRIA DO DEM	 R$640.962,79
